X,Y,L
-174621.5514202288,744760.1385204609,n1
-174619.55142671528,744760.1436141761,n2
-174617.55143320176,744760.1487078911,n3
-174615.55143968828,744760.1538016063,n4
-174613.55144617477,744760.1588953213,n5
-174611.55145266125,744760.1639890365,n6
-174609.55145914774,744760.1690827515,n7
-174607.55146563426,744760.1741764667,n8
-174605.55147212074,744760.1792701817,n9
-174603.55147860723,744760.1843638968,n10
-174601.55148509372,744760.1894576119,n11
-174599.55149158023,744760.194551327,n12
-174598.6746886409,744760.1967844265,n13
-174596.67964728072,744760.0560365272,n14
-174594.6846059205,744759.9152886278,n15
-174592.68956456034,744759.7745407287,n16
-174590.69452320016,744759.6337928294,n17
-174588.69948183998,744759.49304493,n18
-174586.70444047978,744759.3522970307,n19
-174584.7093991196,744759.2115491315,n20
-174582.71435775943,744759.0708012322,n21
-174580.72199842523,744758.9302425468,n22
-174578.73462024325,744758.7059036028,n23
-174576.74724206128,744758.4815646588,n24
-174574.7598638793,744758.2572257147,n25
-174572.77248569732,744758.0328867708,n26
-174570.78510751534,744757.8085478267,n27
-174568.79772933337,744757.5842088828,n28
-174567.06958694113,744757.3891329566,n29
-174565.0897818924,744757.1056334521,n30
-174563.1099768437,744756.8221339475,n31
-174561.13017179497,744756.538634443,n32
-174559.15036674627,744756.2551349384,n33
-174557.17056169754,744755.9716354338,n34
-174555.19075664884,744755.6881359294,n35
-174554.78964249682,744755.6306981208,n36
-174552.8502492679,744755.1420736191,n37
-174550.91085603903,744754.6534491173,n38
-174548.97146281012,744754.1648246156,n39
-174547.0320695812,744753.6762001138,n40
-174545.0926763523,744753.1875756122,n41
-174543.15328312342,744752.6989511105,n42
-174541.2138898945,744752.2103266087,n43
-174539.2744966656,744751.721702107,n44
-174537.3351034367,744751.2330776053,n45
-174535.3957102078,744750.7444531035,n46
-174533.4563169789,744750.2558286018,n47
-174531.51692375,744749.7672041,n48
-174530.8999486504,744749.6117590123,n49
-174528.98365575584,744749.0392019913,n50
-174527.0673628613,744748.4666449702,n51
-174525.15106996679,744747.8940879492,n52
-174523.23477707224,744747.3215309281,n53
-174521.3184841777,744746.7489739071,n54
-174519.40219128315,744746.1764168862,n55
-174517.4858983886,744745.6038598651,n56
-174515.5696054941,744745.031302844,n57
-174514.03018405766,744744.5713488598,n58
-174512.14852907255,744743.8935771305,n59
-174510.26687408748,744743.2158054012,n60
-174508.38521910238,744742.5380336718,n61
-174506.5035641173,744741.8602619425,n62
-174504.6219091322,744741.1824902132,n63
-174502.7402541471,744740.5047184839,n64
-174500.85859916202,744739.8269467545,n65
-174498.97694417692,744739.1491750252,n66
-174497.0952891918,744738.4714032959,n67
-174495.21363420674,744737.7936315666,n68
-174493.33197922164,744737.1158598372,n69
-174491.45032423656,744736.4380881079,n70
-174489.56866925146,744735.7603163786,n71
-174487.68701426635,744735.0825446493,n72
-174485.80535928128,744734.4047729198,n73
-174484.58026776343,744733.9634952132,n74
-174482.65408202528,744733.425156563,n75
-174480.72789628714,744732.886817913,n76
-174478.801710549,744732.3484792629,n77
-174476.87552481086,744731.8101406129,n78
-174474.94933907271,744731.2718019628,n79
-174473.02315333456,744730.7334633127,n80
-174471.09696759644,744730.1951246626,n81
-174469.1707818583,744729.6567860125,n82
-174467.24459612014,744729.1184473624,n83
-174465.318410382,744728.5801087123,n84
-174464.09442752236,744728.238024734,n85
-174462.10284830193,744728.0546884069,n86
-174460.11126908154,744727.8713520799,n87
-174458.1196898611,744727.6880157528,n88
-174456.1281106407,744727.5046794257,n89
-174454.13653142028,744727.3213430988,n90
-174452.1449521999,744727.1380067717,n91
-174450.15337297946,744726.9546704447,n92
-174448.16179375903,744726.7713341176,n93
-174446.17021453864,744726.5879977905,n94
-174444.1786353182,744726.4046614636,n95
-174442.1870560978,744726.2213251365,n96
-174440.1954768774,744726.0379888094,n97
-174438.20389765696,744725.8546524824,n98
-174436.21231843656,744725.6713161553,n99
-174436.0953650011,744725.6605499187,n100
-174434.0973871247,744725.7504632402,n101
-174432.09940924827,744725.8403765616,n102
-174430.10143137188,744725.9302898832,n103
-174428.10345349545,744726.0202032047,n104
-174426.10547561906,744726.1101165261,n105
-174424.10749774263,744726.2000298477,n106
-174422.10951986624,744726.2899431692,n107
-174420.11154198984,744726.3798564906,n108
-174418.11356411342,744726.4697698122,n109
-174416.85077907922,744726.5265978673,n110
-174414.8521732882,744726.6012630675,n111
-174412.8535674972,744726.6759282677,n112
-174410.85496170618,744726.750593468,n113
-174408.85635591517,744726.8252586682,n114
-174406.85775012415,744726.8999238684,n115
-174404.85914433314,744726.9745890686,n116
-174402.86053854213,744727.0492542688,n117
-174400.8619327511,744727.1239194691,n118
-174398.8633269601,744727.1985846693,n119
-174396.86472116908,744727.2732498695,n120
-174394.86611537807,744727.3479150697,n121
-174392.86750958706,744727.42258027,n122
-174390.86890379604,744727.4972454702,n123
-174388.87029800503,744727.5719106704,n124
-174386.87169221402,744727.6465758706,n125
-174384.873086423,744727.7212410708,n126
-174384.4984453909,744727.7352371514,n127
-174382.49928497674,744727.7931822843,n128
-174380.50012456256,744727.8511274174,n129
-174378.5009641484,744727.9090725504,n130
-174376.50180373425,744727.9670176834,n131
-174374.50264332007,744728.0249628164,n132
-174372.50348290592,744728.0829079495,n133
-174370.50432249176,744728.1408530824,n134
-174368.50516207758,744728.1987982155,n135
-174366.50600166342,744728.2567433484,n136
-174364.50684124927,744728.3146884815,n137
-174362.6699718941,744728.3679296513,n138
-174360.6700730899,744728.3880486216,n139
-174358.6701742857,744728.4081675919,n140
